#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Nov 15 20:01:22 EST 2018,3,3,Assignment11Suite,SyncArthurLancelotTestCase+ , ,ApproachCommandObjectTestCase- CommandListCommandObjectTestCase- FailCommandObjectTestCase- ManyLevelListMovesTestCase- ManyLevelRepeatManyLevelList- ManyLevelRepeatTestCase- OneLevelListMovesTestCase- OneLevelListWithPositiveNegativeMovesTestCase- OneLevelRepeatOneLevelList- OneLevelRepeatTestCase- ParserCreatesApproachCommandObjectTestCase- ParserCreatesCommandListTestCase- ParserCreatesFailCommandObjectTestCase- ParserCreatesMoveCommandObjectTestCase- ParserCreatesPassCommandObjectTestCase- ParserCreatesRepeatCommandObjectTestCase- ParserCreatesSayCommandObjectTestCase- ParserFactoryMethodTest- ParsingAtomicCommandTestCase- PassCommandObjectTestCase- RepeatCommandObjectTestCase- SyncArthurAnimationTestCase- SyncGalahadAnimationTestCase- SyncLancelotAnimationTestCase- SyncRobinAnimationTestCase- TwoLevelListMovesTestCase- TwoLevelRepeatTestCase- TwoLevelRepeatTwoLevelList- , ,
1,Thu Nov 15 20:04:14 EST 2018,3,0,Assignment11Suite,SyncArthurLancelotTestCase , ,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
2,Thu Nov 15 20:10:57 EST 2018,3,0,Assignment11Suite,SyncArthurLancelotTestCase , ,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
3,Thu Nov 15 20:22:29 EST 2018,17,14,Assignment11Suite,ApproachCommandObjectTestCase+ CommandListCommandObjectTestCase+ FailCommandObjectTestCase+ PassCommandObjectTestCase+ SyncArthurLancelotTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase RepeatCommandObjectTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
4,Thu Nov 15 20:45:14 EST 2018,20,3,Assignment11Suite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase PassCommandObjectTestCase RepeatCommandObjectTestCase+ SyncArthurLancelotTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
5,Thu Nov 15 22:40:08 EST 2018,24,4,Assignment11Suite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserFactoryMethodTest+ PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurLancelotTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
6,Thu Nov 15 23:18:19 EST 2018,31,7,Assignment11Suite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserCreatesApproachCommandObjectTestCase+ ParserCreatesSayCommandObjectTestCase+ ParserFactoryMethodTest PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurLancelotTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
7,Thu Nov 15 23:19:47 EST 2018,31,0,Assignment11Suite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurLancelotTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
8,Fri Nov 16 00:31:46 EST 2018,48,17,Assignment11Suite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase+ ParserCreatesFailCommandObjectTestCase+ ParserCreatesMoveCommandObjectTestCase+ ParserCreatesPassCommandObjectTestCase+ ParserCreatesRepeatCommandObjectTestCase+ ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurLancelotTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
9,Fri Nov 16 00:48:05 EST 2018,48,0,Assignment11Suite,ApproachCommandObjectTestCase CommandListCommandObjectTestCase FailCommandObjectTestCase ParserCreatesApproachCommandObjectTestCase ParserCreatesCommandListTestCase ParserCreatesFailCommandObjectTestCase ParserCreatesMoveCommandObjectTestCase ParserCreatesPassCommandObjectTestCase ParserCreatesRepeatCommandObjectTestCase ParserCreatesSayCommandObjectTestCase ParserFactoryMethodTest PassCommandObjectTestCase RepeatCommandObjectTestCase SyncArthurLancelotTestCase , ,ManyLevelListMovesTestCase ManyLevelRepeatManyLevelList ManyLevelRepeatTestCase OneLevelListMovesTestCase OneLevelListWithPositiveNegativeMovesTestCase OneLevelRepeatOneLevelList OneLevelRepeatTestCase ParsingAtomicCommandTestCase SyncArthurAnimationTestCase SyncGalahadAnimationTestCase SyncLancelotAnimationTestCase SyncRobinAnimationTestCase TwoLevelListMovesTestCase TwoLevelRepeatTestCase TwoLevelRepeatTwoLevelList , ,
