#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Nov 20 16:02:52 EST 2018,3,3,Assignment12Suite,BroadcastingClearanceManagerFactoryMethodTest+ , ,DefineCallCommandObjectTestCase- DefineCallCommandTestCase- EnvironmentFactoryMethodTest- LockstepAvatarsAnimationTestCase- ParserCreatesDefineCallCommandObjectTestCase- ParserCreatesProceedAllCommandObjectTestCase- ParserCreatesRotateLeftArmCommandObjectTestCase- ParserCreatesRotateRightArmCommandObjectTestCase- ParserCreatesSleepCommandObjectTestCase- ParserCreatesThreadCommandObjectTestCase- ParsingExceptionTestCase- ProceedAllCommandObjectTestCase- ProceedAllCommandTestCase- RotateLeftArmCommandObjectTestCase- RotateLeftArmCommandTestCase- RotateRightArmCommandObjectTestCase- RotateRightArmCommandTestCase- ScanningExceptionTestCase- SleepCommandObjectTestCase- SleepCommandTestCase- SwingTextFieldFactoryTestCase- ThreadCommandObjectTestCase- ThreadCommandTestCase- UndoRedoTestCase- WaitingAvatarsAnimationTestCase- , ,
1,Wed Nov 21 13:39:28 EST 2018,3,0,Assignment12Suite,BroadcastingClearanceManagerFactoryMethodTest , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase WaitingAvatarsAnimationTestCase , ,
2,Wed Nov 21 13:40:50 EST 2018,7,4,WaitingAvatarsAnimationTestCase,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase+ , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase , ,
3,Wed Nov 21 13:41:09 EST 2018,7,0,Assignment12Suite,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase , ,
4,Mon Nov 26 12:41:24 EST 2018,7,0,Assignment12Suite,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase , ,
5,Mon Nov 26 13:13:04 EST 2018,7,0,BroadcastingClearanceManagerFactoryMethodTest,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase , ,
6,Mon Nov 26 13:13:11 EST 2018,7,0,WaitingAvatarsAnimationTestCase,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase , ,
7,Mon Nov 26 13:13:37 EST 2018,7,0,Assignment12Suite,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase , ,
8,Tue Nov 27 19:28:44 EST 2018,7,0,UndoRedoTestCase,BroadcastingClearanceManagerFactoryMethodTest WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase UndoRedoTestCase , ,
9,Tue Nov 27 19:36:16 EST 2018,11,4,UndoRedoTestCase,BroadcastingClearanceManagerFactoryMethodTest UndoRedoTestCase+ WaitingAvatarsAnimationTestCase , ,DefineCallCommandObjectTestCase DefineCallCommandTestCase EnvironmentFactoryMethodTest LockstepAvatarsAnimationTestCase ParserCreatesDefineCallCommandObjectTestCase ParserCreatesProceedAllCommandObjectTestCase ParserCreatesRotateLeftArmCommandObjectTestCase ParserCreatesRotateRightArmCommandObjectTestCase ParserCreatesSleepCommandObjectTestCase ParserCreatesThreadCommandObjectTestCase ParsingExceptionTestCase ProceedAllCommandObjectTestCase ProceedAllCommandTestCase RotateLeftArmCommandObjectTestCase RotateLeftArmCommandTestCase RotateRightArmCommandObjectTestCase RotateRightArmCommandTestCase ScanningExceptionTestCase SleepCommandObjectTestCase SleepCommandTestCase SwingTextFieldFactoryTestCase ThreadCommandObjectTestCase ThreadCommandTestCase , ,
