#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Nov 06 15:06:08 EST 2018,0,0,Assignment10Suite, , ,AssertingBridgeSceneDynamicTestCase- AsyncArthurAnimationTestCase- AsyncGalahadAnimationTestCase- AsyncLancelotAnimationTestCase- AsyncRobinAnimationTestCase- MoveCommandObjectTestCase- SayCommandObjectTestCase- , ,
1,Tue Nov 06 15:10:21 EST 2018,0,0,Assignment10Suite, , ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase , ,
2,Tue Nov 06 15:19:17 EST 2018,0,0,Assignment10Suite, , ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase MoveCommandObjectTestCase SayCommandObjectTestCase , ,
3,Tue Nov 06 15:19:55 EST 2018,28,28,Assignment10Suite,MoveCommandObjectTestCase+ SayCommandObjectTestCase+ , ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase , ,
4,Tue Nov 06 15:33:56 EST 2018,28,0,Assignment10Suite,MoveCommandObjectTestCase SayCommandObjectTestCase , ,AssertingBridgeSceneDynamicTestCase AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase , ,
5,Tue Nov 06 15:44:52 EST 2018,28,0,Assignment10Suite,MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase+ ,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase , ,
6,Tue Nov 06 15:46:58 EST 2018,28,0,Assignment10Suite,MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase ,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase , ,
7,Tue Nov 06 15:47:22 EST 2018,28,0,Assignment10Suite,MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase ,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase , ,
8,Tue Nov 06 15:47:47 EST 2018,28,0,Assignment10Suite,MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase ,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase , ,
9,Tue Nov 06 15:54:46 EST 2018,28,0,Assignment10Suite,MoveCommandObjectTestCase SayCommandObjectTestCase ,AssertingBridgeSceneDynamicTestCase ,AsyncArthurAnimationTestCase AsyncGalahadAnimationTestCase AsyncLancelotAnimationTestCase AsyncRobinAnimationTestCase , ,
